bucket,hour_end,max_inflight
0,0.5,28
1,1,38
2,1.5,32
3,2,43
4,2.5,38
5,3,43
6,3.5,40
7,4,39
8,4.5,40
9,5,41
10,5.5,39
11,6,38
12,6.5,35
13,7,38
14,7.5,33
15,8,33
16,8.5,32
17,9,31
18,9.5,32
19,10,31
20,10.5,32
21,11,30
22,11.5,29
23,12,28
24,12.5,27
25,13,26
26,13.5,24
27,14,22
28,14.5,24
29,15,22
30,15.5,23
31,16,22
32,16.5,20
33,17,19
34,17.5,20
35,18,18
36,18.5,18
37,19,18
38,19.5,18
39,20,18
40,20.5,17
41,21,16
42,21.5,15
43,22,13
44,22.5,13
45,23,13
46,23.5,12
47,24,12
48,24.5,12
49,25,12
50,25.5,12
51,26,12
52,26.5,10
53,27,9
54,27.5,9
55,28,9
56,28.5,9
57,29,9
58,29.5,7
59,30,7
60,30.5,7
61,31,7
62,31.5,6
63,32,6
64,32.5,6
65,33,6
66,33.5,6
67,34,6
68,34.5,5
69,35,5
70,35.5,5
71,36,5
72,36.5,5
73,37,4
74,37.5,4
75,38,4
76,38.5,4
77,39,4
78,39.5,4
79,40,4
80,40.5,4
81,41,4
82,41.5,4
83,42,4
84,42.5,4
85,43,4
86,43.5,4
87,44,4
88,44.5,4
89,45,4
90,45.5,4
91,46,4
92,46.5,4
93,47,4
94,47.5,4
95,48,4
