gap_bin_ms,hour_1_pairs,hour_48_pairs,hour_1_total_pairs,hour_48_total_pairs
0,345,128,23403,6525
100,321,100,23403,6525
200,401,132,23403,6525
300,437,122,23403,6525
400,493,166,23403,6525
500,564,188,23403,6525
600,709,174,23403,6525
700,1066,213,23403,6525
800,1410,209,23403,6525
900,4214,374,23403,6525
1000,5120,370,23403,6525
1100,1271,107,23403,6525
1200,908,122,23403,6525
1300,567,73,23403,6525
1400,373,47,23403,6525
1500,332,43,23403,6525
1600,262,44,23403,6525
1700,227,39,23403,6525
1800,173,33,23403,6525
1900,185,22,23403,6525
2000,168,26,23403,6525
2100,90,17,23403,6525
2200,77,22,23403,6525
2300,48,12,23403,6525
2400,58,14,23403,6525
2500,41,14,23403,6525
2600,40,13,23403,6525
2700,39,10,23403,6525
2800,37,13,23403,6525
2900,24,8,23403,6525
