hour,fetches,in_window
1,33017,true
2,29983,true
3,45703,true
4,61296,true
5,67614,true
6,67605,true
7,64879,true
8,61072,true
9,57821,true
10,56504,true
11,54546,true
12,50095,true
13,46071,true
14,40422,true
15,38386,true
16,35022,true
17,33505,true
18,31161,true
19,29079,true
20,27957,true
21,27071,true
22,21151,true
23,21199,true
24,19968,true
25,18766,true
26,19079,true
27,15310,true
28,15538,true
29,14054,true
30,13454,true
31,10962,true
32,10883,true
33,9793,true
34,10501,true
35,9068,true
36,8066,true
37,8339,true
38,7820,true
39,6866,true
40,7556,true
41,7512,true
42,6668,true
43,6960,true
44,6925,true
45,7371,true
46,6721,true
47,7422,true
48,7354,true
49,6538,false
50,6836,false
51,6450,false
52,6107,false
53,5200,false
54,5203,false
55,6256,false
56,4384,false
57,3829,false
58,3840,false
59,3441,false
60,3553,false
