hour,live_workers,mean_inflight,max_inflight,fetches_per_sec,cycle_s,in_gauge_pct
1,50,10.8818,38,9.1328,5.4748,21.76
2,50,10.7396,43,8.3356,5.9984,21.48
3,50,17.4889,43,12.6836,3.9421,34.98
4,50,22.4262,40,16.9950,2.9420,44.85
5,50,24.8647,41,18.7633,2.6648,49.73
6,50,25.9443,39,18.7631,2.6648,51.89
7,50,25.5195,38,17.9847,2.7801,51.04
8,50,24.2078,33,16.9431,2.9511,48.42
9,41,23.5209,32,16.0453,2.5553,57.37
10,41,23.1880,32,15.6619,2.6178,56.56
11,41,22.4262,32,15.1242,2.7109,54.70
12,35,20.9373,29,13.9025,2.5175,59.82
13,34,19.5251,27,12.7817,2.6601,57.43
14,29,17.4192,24,11.2069,2.5877,60.07
15,26,16.7270,24,10.6386,2.4439,64.33
16,25,15.8665,23,9.7522,2.5635,63.47
17,22,14.4554,20,9.2622,2.3752,65.71
18,22,13.2131,20,8.6422,2.5456,60.06
19,20,12.7816,18,8.0608,2.4811,63.91
20,20,12.3816,18,7.7667,2.5751,61.91
21,18,11.6281,17,7.5061,2.3980,64.60
22,15,9.9179,15,5.8572,2.5609,66.12
23,13,9.4312,13,5.8786,2.2114,72.55
24,12,8.7340,12,5.5436,2.1647,72.78
25,13,8.7594,12,5.2000,2.5000,67.38
26,13,8.3593,12,5.2983,2.4536,64.30
27,10,6.6370,10,4.2439,2.3563,66.37
28,9,6.6685,9,4.3083,2.0890,74.09
29,10,6.0487,9,3.9014,2.5632,60.49
30,7,5.1488,7,3.7417,1.8708,73.55
31,7,5.0348,7,3.0394,2.3031,71.93
32,6,4.5487,6,3.0136,1.9910,75.81
33,6,4.5007,6,2.7181,2.2075,75.01
34,6,4.1295,6,2.9150,2.0583,68.83
35,5,3.7580,5,2.5117,1.9907,75.16
36,5,3.8373,5,2.2453,2.2269,76.75
37,5,3.3533,5,2.3111,2.1635,67.07
38,4,3.0334,4,2.1653,1.8473,75.84
39,4,3.0417,4,1.9047,2.1000,76.04
40,4,3.0111,4,2.0953,1.9091,75.28
41,4,2.9875,4,2.0864,1.9172,74.69
42,4,3.1140,4,1.8461,2.1667,77.85
43,4,3.0000,4,1.9358,2.0663,75.00
44,4,3.1919,4,1.9192,2.0842,79.80
45,4,2.9791,4,2.0489,1.9523,74.48
46,4,3.0403,4,1.8619,2.1483,76.01
47,4,2.9110,4,2.0575,1.9441,72.77
48,4,3.0460,4,2.0406,1.9603,76.15
